,area,prior_landfills,prior_wastewater,prior_ong,prior_livestock,prior_coal,prior_other_anth,prior_total,prior_gasdist,post_mean,post_min,post_max,post_hr_mean,post_hr_min,post_hr_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop_2010,pop_2000,prior_postmeter,xhat_mean,xhat_min,xhat_max,post_mean_pc
"McKinney, TX",908.2233861142743,5.5840963183840175,0.2609459176727757,0.2664200022698345,1.4287508857241293,0.0,0.41320984168332825,8.81894560996334,0.6121478713271549,21.363853746748877,16.090589928581487,31.66163142384764,17.360848747097258,12.875604312618066,26.24587664253093,12.798282909687636,7.525019091520246,23.0960605867864,0.41082806912367154,0.2519895978216869,0.6517491905263961,170030,54525,0.25337477290209953,2.422495238275734,1.824548040119773,3.5901833194296406,0.00012564755482414209
"Chattanooga, TN--GA",3958.8713296516153,13.840964694743516,0.7369044322370739,1.2109255099141822,4.2899549064331515,0.021453925760327484,0.5658007709262041,21.818126393307676,0.5841978666951775,21.964907394719553,12.586100894144655,30.61580170402237,16.62988666368084,7.9081089554669575,24.85313256125321,0.7147052880099201,-8.664101212564978,9.365599597312738,0.3210595275131141,0.2265022381246889,0.4540434055778486,381112,343509,0.5679242865980412,1.0067274796545729,0.5768644230608738,1.403227809396742,5.7633733376853924e-05
"Washington, DC--VA--MD",8644.528359904732,12.427228473959907,6.625067432722144,3.9839759514900908,5.977274449929764,0.0,6.352578180500974,49.57827530659121,7.377052264179215,29.022491962971344,14.742713928732659,39.044027067820224,16.147234707159825,4.982900632236095,24.217327796100424,-13.720684789810752,-28.00046282404944,-3.699149684961874,0.25666486880954265,0.15828767031586125,0.3879179063487934,4586770,3933920,6.835098553809109,0.5853872847229307,0.29736237974322355,0.7875228984141265,6.327435638362365e-06
"Lansing, MI",2846.5874392980004,10.995516602559299,0.3458454615790628,0.324872630657213,5.187784475566054,0.0,0.693552315625135,18.9583908065811,0.9436011867500678,22.412562672612403,12.458549361353288,28.02420755762642,15.825466961758341,8.288017202204749,20.323346099779624,3.921389999875575,-6.032623311383542,9.533034884889588,0.3089400074873797,0.15005259365985926,0.5751262015035222,313532,300032,0.46721813384426897,1.1821975241080187,0.6571522598335985,1.4781954778513304,7.148413135696644e-05
"Mauldin--Simpsonville, SC",617.6335822603976,4.199961461970268,0.9602274512762118,0.28343086862362976,0.3018685910781054,0.0,0.10163371920613613,6.14466508299326,0.11786193460050105,17.211807811654808,11.579814220922287,28.479319360672488,15.434889179433325,10.383994835202056,25.539784206640984,11.246823784899952,5.614830194167435,22.514335333917636,0.27273411394839925,0.1735528032199691,0.42687257281517743,120577,77831,0.17968105623840763,2.8010977944578865,1.8845313885327977,4.634804171751426,0.00014274536446963191
"Greensboro, NC",2257.3819862291753,12.749190320970442,0.37583844879616857,2.9052575186016187,2.0128933016013515,0.0,0.6210411351425398,19.43484711185426,0.3059743374649303,19.3071214367297,15.216044779008296,23.286903495948486,15.236512034545392,11.726125043969148,17.99976027939213,0.33692637415265025,-3.7541502835687552,4.316708433371435,0.4262866629340994,0.3159820954096563,0.5641839386052914,311810,267884,0.4646520492772078,0.9934280072084204,0.782925880066599,1.1982035856482076,6.191950686870113e-05
"Appleton, WI",2081.3048756606777,8.970083162161556,0.3246933725961595,0.018676577051617356,10.864735321639952,0.0,0.8028011086295513,21.65424673409144,0.351149501241093,32.891186912468186,25.1614956039056,43.908278701297895,15.003041844962889,11.906617224279056,19.24279034715886,11.559047869148255,3.8293565605856728,22.57613965797797,0.23668611924516378,0.12036661802211185,0.4339294850454776,216154,187683,0.32210769077151336,1.5189254706646445,1.161965868075776,2.0276982727905626,0.0001521655251000129
"York, PA",2282.674594024129,5.241580568868067,1.1056536145812612,0.08389167543755165,5.138460265591068,0.0,0.9511047085250365,13.809847761201397,0.9433688368141395,24.972178382123182,20.316502481118423,31.268251131695855,14.56360418769468,11.893336194190592,17.91501995942473,11.50811871230606,6.852442811301298,17.80419146187873,0.20430124976615127,0.10192814432543053,0.36857486596805655,232045,192903,0.34578809138427147,1.8082877388614107,1.4711604959322866,2.2641995532741235,0.00010761782577570378
"Concord, NC",2671.9891725969323,6.949761210507299,0.19479984290998353,1.678215177974199,3.639624591048529,0.0,0.49046618432214306,13.525283801169055,0.25220609878862266,20.947986129185765,18.23330078685174,24.57021664943734,14.113281690041642,11.937356233131283,17.046027409106728,7.742913023634991,5.028227681300963,11.365143543886566,0.29950982454001024,0.20993715682886802,0.4237460735054832,214881,115057,0.32021069561827936,1.548801965055634,1.348090070041691,1.816613759137063,9.748645124131852e-05
"Kingsport, TN--VA",3006.411316799632,17.157846748012517,0.5405542311365511,1.3815875932057955,4.310390956144563,4.117697614889736,1.3242858346183997,29.197804797175685,0.20663218014589302,22.2029456207028,18.628375385197796,27.644466831628083,12.510730706369124,10.41195325501118,16.234917612460386,-6.8360495374506565,-10.410619772955659,-1.3945283265253714,0.49936140915454413,0.34095947831494544,0.7167765797650988,106571,95766,0.15880963902222928,0.7604320179183641,0.6380060252680272,0.9467994948134643,0.00020833946965593641
"Modesto, CA",2375.9741308095263,3.1408949250940217,0.60944885707303,0.05459845768360758,46.09510955827812,0.0,1.3093690676848886,52.36502717326158,0.6218666782066562,103.45568613602916,88.80662295992299,127.38451014628427,12.421197801981904,9.58101069173971,17.165336908519546,51.62439859200882,36.97533541590266,75.55322260226394,0.363889778509258,0.22492444662112449,0.5794507439628903,358172,310945,0.5337396292412562,1.9756637534765813,1.6959147689561225,2.4326256859335467,0.00028884358949339745
"Nashville-Davidson, TN",6193.947522655408,3.960095941849311,6.1024984172233,6.565400356544987,9.170744956381261,0.4637926860726567,1.1435416463022605,30.312827233743285,1.4618971102503648,32.000987128086635,26.50232522347015,40.41106922318964,12.029387478152877,9.375968007245136,16.615826863967072,3.133016013462492,-2.3656458911539886,11.543098108565502,0.21404342665262477,0.13235820313286478,0.3178214535677592,969587,749935,1.4448561191191434,1.0556912715968685,0.8742940742250725,1.333134283766356,3.300476092200765e-05
"Mission Viejo--Lake Forest--San Clemente, CA",1682.3814348514704,12.489490468821627,3.2438976559906805,0.0,0.7271328812927316,0.0,1.3489947659042578,19.31116301607333,0.6318593194491403,16.704752388471373,12.84471225741518,20.118280823666343,11.236843192243917,9.758104851831575,12.326243091471664,-1.7366227029870616,-5.596662834043256,1.6769057322079064,0.5031589562213183,0.39928474876696507,0.6380222299322057,583681,533015,0.8697879246148934,0.8650308826333996,0.6651444165596911,1.0417954012879092,2.861966106224354e-05
"Tallahassee, FL",2502.1709564638795,3.4693443478239208,0.022575975726050558,0.02616105882764878,1.7233374791648837,0.0,0.3931318039521586,6.1770292714136605,0.18450384810648834,15.578877402898598,13.030034327128522,18.124389459070358,10.959963205736534,9.06607804691175,12.887002217964806,9.759822889297446,7.210979813527372,12.305334945469207,0.28383841066352106,0.17122622486831113,0.4405951403474874,240223,204260,0.35797475781250987,2.522066307018366,2.1094337997440795,2.934159555135547,6.485173111191933e-05
"Laredo, TX",3427.663166621526,7.944715645430259,1.060670033087802,11.382401455123619,1.080308924315378,0.0,0.09909733688541625,22.478481064468017,0.5600082764819098,25.32493746500691,16.904827446374206,29.84036582594509,10.617194320204224,4.723231640409224,13.634102007091204,3.197735793682525,-5.22237422495018,7.713164154620703,0.3402918738434161,0.19818467626422107,0.5761559165157454,235730,175586,0.35127939314363293,1.1266302821963499,0.752044917887973,1.327508106102155,0.00010743196650832271
"Wichita, KS",3064.0915558019487,6.173646658162513,2.441056706506375,0.40437758687223346,4.172554902209627,0.0,0.5760841612520731,15.860593305029123,1.3882133543548567,16.3393268192141,14.47423079738777,18.01901064745149,10.491590867692125,9.507095560093177,11.83327724353166,1.183393449856422,-0.6817025719699075,2.8630772780938134,0.2742561880902728,0.182924148008584,0.409842776067563,472870,422301,0.704659935671445,1.0301838339195784,0.9125907536383421,1.1360867970643929,3.455352807159283e-05
"Canton, OH",1719.2095902133801,8.814324092386098,0.35274500071137443,10.4895477179906,3.711100717620587,0.4403172026451448,0.670961781181769,25.732400459474224,0.8372795073747693,24.573237823173848,15.143162854991425,32.555750302627835,10.404426416087592,4.887257497637095,14.55573492204685,-0.7430381967364939,-10.173113164918918,7.239474282717492,0.34052822357982876,0.17463282084050066,0.6051433140709082,279245,266595,0.4161244395638815,0.9549531868149678,0.588486211336571,1.2651656946618586,8.799884625749378e-05
"Fort Smith, AR--OK",2364.618217536429,3.99817803834995,0.39753895620771273,8.426880768447003,3.768379648592008,2.2988841888005536,0.3726932163374763,19.95160422865606,0.5058366365052844,37.790679219393176,32.13780379496858,41.04685134754086,9.66346765707549,8.833004051213257,10.431766549771012,18.022287766153184,12.369412341728594,21.27845989430087,0.49076134085907475,0.3117921840126129,0.7450790498598838,122947,106470,0.18321277541607026,1.8941173244162106,1.6107879560286058,2.0573208488461368,0.00030737374006192244
"Jacksonville, NC",1589.3517922351598,4.644515914292345,0.027678486475436893,0.0,5.04930205245698,0.0,0.14725195644925018,10.112827671180106,0.08698630623604472,15.179002454976454,13.473755944552371,16.595613279116172,9.448629937684705,8.641286808409363,10.312222763128675,5.2232677390663955,3.518021228642313,6.639878563206114,0.2870964487202782,0.13898856218972128,0.5270872890338181,105419,95514,0.15709295527004896,1.5009652046414388,1.3323430777872698,1.6410457904282238,0.0001439873500505265
"Bakersfield, CA",3154.4530354940302,3.6120787089190234,0.8948449686954235,18.14136642664654,11.798804891246737,0.0,1.0022423888696899,36.92556531794846,0.6953841956891242,78.30878312633968,70.85658008828413,89.50634490482776,9.289480273471403,8.72198352282131,9.895109677170874,42.16406154627313,34.71185850821759,53.36162332476121,0.5908189914357194,0.4234624188006323,0.7951930843561467,523994,396125,0.7808437378819193,2.1207199524789946,1.9189030547852648,2.4239668136189993,0.00014944595382073017
"Tucson, AZ",6545.943450447683,6.6302624396073995,0.2536417480092491,2.3028951570812195,3.9141153386704968,0.0,0.4532681220510619,15.42171952471108,0.6110672696750119,17.184050663285728,13.590795432789594,21.77662640873198,8.570370740426688,6.723420001882415,11.567437166361586,3.018800588191291,-0.5744546423048433,7.611376333637541,0.2235364908941557,0.16282458559542265,0.2973047297205693,843168,720425,1.2564694496166409,1.1142759168814325,0.8812762682535048,1.4120751174237138,2.038034017335303e-05
"Amarillo, TX",2371.932534724619,3.6802526353312426,1.139569885401218,10.838209262339065,5.2673926187820115,0.0,0.26925686155086825,22.157106695765,0.6693806610498186,39.50037561125022,30.51804373861413,51.03262366637331,8.183868177285937,7.153222829568698,8.94653168729272,17.636313686795997,8.653981814159902,29.168561741919085,0.553399974090706,0.4132676242922934,0.7321011016801613,196651,179312,0.2930447713107732,1.7827406869327453,1.3773478711661933,2.303216948272738,0.0002008653686543685
"Antioch, CA",1270.370101258174,4.884987892524853,0.42108959970436693,3.6351146582156497,4.99267582476494,0.0,0.49874680466761245,15.304097180104606,0.4577586355979919,12.661689590353433,-1.0508126994198457,21.54751034991116,7.6359581430122745,5.132250101071594,9.611600087500346,-2.2286838251219816,-15.94118611489526,6.657136934435746,0.23494069326765724,0.1484270993005832,0.3696914447653362,277634,217591,0.41372376462919186,0.8273398581664578,-0.0686621815748731,1.4079569736346826,4.560568802939638e-05
"Santa Clarita, CA",1607.5857834677818,7.491687510527274,0.8386303835105351,3.005839612333988,0.466277028116117,0.0,0.39599102335135206,13.185404333883984,0.6015400585510582,9.695675964222717,7.123480252464439,12.085260142824861,7.423034085335264,5.391708007992876,9.269754004617866,-3.1042896521676084,-5.676485363925886,-0.7147054735654645,0.2610456002290457,0.19935295340182546,0.3397178743236538,258653,170481,0.38543871749365843,0.7353339889097426,0.5402549722467326,0.9165634846531053,3.748526390269093e-05
"El Centro--Calexico, CA",2438.0035453441888,3.2379520121950844,0.5850276906999163,0.047942310050119896,8.61657069918225,0.0,0.23143978345047983,13.06829653967896,0.1889137203469803,22.293044892068206,18.9815313634427,26.568070709891117,7.406817269172041,6.244912677409382,8.795686273203527,9.385198676143377,6.073685147517869,13.660224493966288,0.27633473310013407,0.18073944248246546,0.4137481673809096,107672,52954,0.1604503237541308,1.7058875901981838,1.4524870403582841,2.033017128837191,0.00020704588836529652
"College Station--Bryan, TX",3329.0831432036202,3.319847356062699,0.11890883468519128,7.093174976833422,8.151667805284795,0.0,0.5510027056935776,20.03012974575234,0.5401937117088615,28.799882002490754,26.223569884788432,31.465413861583148,7.05612058054574,5.589009941346445,8.205780444695757,9.025086612222209,6.448774494519888,11.690618471314604,0.20125834298131867,0.12467840352140372,0.31353791975612044,171345,132500,0.25533435548379835,1.4378280304748479,1.3092061917546738,1.570904145953214,0.00016808125129120054
"McAllen, TX",4931.387467736349,7.2849299811349,1.0458304672995387,15.951950276911333,4.227110014350278,0.0,0.8625690585963472,32.64353976865561,2.18507181438855,38.43928948987891,32.1097123518252,45.88486177577388,6.846050857005782,3.960046365723592,10.647022135989058,6.881827877197967,0.5522507391442595,14.327400163092936,0.3089810687076673,0.19709142364725396,0.4780506162108459,728825,523144,1.0860781559746673,1.1775466068415898,0.9836467668453349,1.4056337670779384,5.2741453009815677e-05
"Yuba City, CA",1500.6084423631949,3.4085355989441037,0.1429839731813797,0.12652732957964236,0.9450771966189391,0.0,18.075152512611517,23.093102415751247,0.22089385093481972,23.520760702925372,20.232929195789755,26.495194654274876,6.058857012424279,5.0722503977654,7.379509047523806,0.6015902410549705,-2.6862412660806463,3.576024192404475,0.3949009147911009,0.26673883733993664,0.5761322115765212,116719,97645,0.17393195388084545,1.0185188754405918,0.87614599509113,1.1473207097632383,0.0002015161259342984
"Denton--Lewisville, TX",1164.4072474268025,2.1592833544314516,0.23642440122461897,14.689162373905814,1.9926494301243811,0.0,0.3861006362682268,21.221487504064964,1.2122032835697802,33.916298546312845,31.877847898941642,37.39745039453407,5.819140119153291,5.550184939185796,6.215132774593603,13.240475066788566,11.202024419417366,16.721626915009793,0.3433391335509933,0.23095319154442576,0.5067432804270876,366174,299823,0.5456640245406892,1.598205523520262,1.5021495497351662,1.762244535750409,9.262344826861778e-05
"Greeley, CO",1475.24929766291,2.445495233736931,0.008088756062277852,22.479055599057816,8.637997350840932,0.0,0.31582563961726895,34.528167235477184,0.4661245666648695,57.47691860986352,44.47607932491044,75.57040017689198,5.680491703334655,4.372901071852413,7.7234231468233405,23.124331463883422,10.123492178930341,41.217813030911884,0.5544214646872658,0.3816189910220213,0.7842746175169913,117825,93879,0.175580089497088,1.6646385606823297,1.2881100529196905,2.1886594692823573,0.0004878159865042522
"Redding, CA",2936.285329512132,3.421887057071995,0.5661334384902179,0.014783651320136142,0.9470489184129562,0.0,0.32023829783832136,5.641979753029682,0.19644837702457948,7.0131482461866295,6.2571265007914745,7.593776046079554,5.430592121802642,4.746659505610759,6.074176314726318,1.546608506028424,0.7905867606332686,2.1272363059213477,0.5171372682053585,0.3790167118277384,0.6630627070972038,117731,105267,0.1754400128714761,1.2430296727705632,1.1090303004776763,1.345941740042895,5.956925742741189e-05
"Norman, OK",414.13188247242465,2.057277327460141,0.050787289757502393,1.1195596417191624,0.5826159899909111,0.0,0.15240430278549394,4.535553904885387,0.41808295691867836,8.366625005385952,7.947351066869057,8.664371657539974,5.007208521542771,4.756283920948012,5.1854021866068445,3.9858974967540632,3.5666235582371684,4.283644148908085,0.2226071911628368,0.13585663413723828,0.3579805641865483,103898,86478,0.15482639625349842,1.8446754643074574,1.752233846963811,1.9103227167485117,8.052729605368681e-05
"Visalia, CA",3114.884752888336,2.5890263314950124,0.4699052685430629,0.0,75.7047955257658,0.0,0.8265510348614649,80.30998747583749,0.39268404073552743,72.17589134239262,62.84205516467625,82.01794392888927,4.632482987313344,4.156339318075484,5.082953803193007,-7.8070708590082525,-17.140907036724627,2.034981727488386,0.2072847799506362,0.13785307975740094,0.31246206816023714,219454,120044,0.32702527443661317,0.898716256979966,0.7824936491688941,1.0212670491769862,0.00032888847477098896
"Gainesville, GA",1843.0452929145235,3.741932326605124,0.003468284121464511,0.0,4.151838382861197,0.0,0.2248705512986421,8.493003893714393,0.17591066632988828,7.538334146393796,2.8936942454922474,10.648381587351148,4.5080046366720925,1.990503672592346,6.164793647355855,-0.7596860648225195,-5.404325965724068,2.350361376134833,0.21843192776324943,0.14052417115341265,0.3322100542316222,130846,88680,0.19498368249807746,0.8875933934250116,0.34071504990523416,1.2537827275967615,5.761226286163731e-05
"Monroe, LA",1631.4132555714389,3.7858011217895324,0.1956902938353532,8.1090811490833,0.7990797357691992,0.0,1.4198101079626053,14.784280218022438,0.30116302859908967,7.6743511873243095,-4.026273702431653,14.440475428430695,4.479743988789843,2.5492802603859888,5.742766885772879,-6.93627424971477,-18.63689913947073,-0.1701500086083847,0.21705079810931535,0.13083174392137287,0.3464831563475915,116533,113818,0.17365478098335801,0.5190885910001265,-0.2723347801216265,0.9767452466727033,6.585560474135489e-05
"Merced, CA",3074.3676462123603,1.0091454396094968,0.3243975914443704,0.0036251409186583775,70.47429118999892,0.0,0.8842277138503176,73.14404781894454,0.24425270766063234,146.4840481334342,130.20173203236268,170.51159813644546,4.154322824338351,3.4530217951249558,5.277018128542582,73.54410834995178,57.26179224888028,97.57165835296306,0.42099130587988864,0.285277760951181,0.6318551015470347,136969,110483,0.20410803546214001,2.0026789944142847,1.7800728277255666,2.3311753070942625,0.0010694686252614401
"Charleston, WV",5140.760652680265,5.158937475087594,0.4424747402009818,29.458477554954076,0.9246509636751932,84.81205533871133,1.6222815644397266,124.49231652670169,1.8451452835995632,24.00636782232548,-3.0991379250018056,52.46815441774258,3.7759217322790537,3.198924380715036,4.2444147857494405,-100.257655098343,-127.36316084567028,-71.79586850292588,0.49848440769717994,0.3151412407397311,0.7582318265282059,153199,182991,0.22829360603322205,0.1928341321946281,-0.02489421043375868,0.4214569692458809,0.0001567005517159086
"Odessa, TX",2560.621182201205,3.6869514534385344,0.2679565755285206,81.00466858888365,0.7788085018740285,0.0,0.1379972547233155,86.46444821684784,0.39970003537345006,175.1001369126255,138.64216654359242,217.00071879727008,3.720404907950685,1.7220220392366337,5.01240630676477,88.82405450280399,52.366084133770926,130.72463638744858,0.4468240382301967,0.36723550250258574,0.5527090888693729,126405,111395,0.18836580702634761,2.0251113668531655,1.6034586399705677,2.5097103291869143,0.0013852310977621573
"Avondale--Goodyear, AZ",724.520331823963,1.5960496799895278,0.31027070883897706,0.0,3.0627932451355124,0.0,0.1382140011630539,5.537234521020407,0.13628094560395912,5.461131758768657,4.541548770595111,6.134294984405131,2.4218743360547412,2.1167950972699874,2.6633495121296105,0.21752317803762466,-0.7020598101359203,0.8906864036741,0.4007345375778064,0.2877410703668199,0.5528962475464549,197041,67875,0.29362594028937594,0.9862561786099451,0.8201835687750841,1.1078264720625735,2.771571276418947e-05
"Midland, TX",1544.8879109966106,2.4029620877632363,0.1522402534255372,81.85403073517435,1.4132834529539133,0.0,0.19482418994587908,86.6783937249916,0.4854997394152229,40.62990421973625,-21.921442616246445,89.55669545369334,1.637942980381133,0.13005991998473646,3.232980718906818,-45.87293623894189,-108.42428307492457,3.0538549950152003,0.6852758052982134,0.5420802012462204,0.8491561801772279,117807,99221,0.1755532663134602,0.4687431604771607,-0.2529055012924857,1.0332066805233362,0.0003448853142829904
"Pueblo, CO",1519.0768856194668,4.090231021972168,0.10995943377575407,0.010191848990735705,0.8727856702573644,0.0,0.2621132636883194,5.863933458140778,0.31516856810207716,0.8046951877884736,-2.5969634449611694,2.865955182271132,0.4309398852388959,-2.4656027506678972,2.164802871980106,-4.8557546189979455,-8.257413251747588,-2.794494624515287,0.24717072674707583,0.16367751171424758,0.3606979224761287,136550,123351,0.20348365135435914,0.13722788526382948,-0.4428705515673713,0.48874278719728403,5.893044216686002e-06
"Lake Charles, LA",3341.90248950239,3.9383439059504655,0.12958254473033456,7.7243964712751705,3.2331921220346533,0.0,8.25413795533999,23.887597691894296,0.3941937225873369,15.05875035545244,0.7272043851161418,25.136851177284335,0.1458216968995314,-7.265648856931858,4.439466222760772,-8.615096366465515,-22.946642336801812,1.4630044553663808,0.23165796552025583,0.13181773973060956,0.3800041430633545,143440,132977,0.21375096997634035,0.6304003671563122,0.03044275922994558,1.0522971586135657,0.00010498292216573091
"Simi Valley, CA",178.83721200241743,2.1246679074600006,0.12066302473105767,0.06654706559062978,0.032796371256674596,0.0,0.1635717702578747,2.8274225847654986,0.1325973605078997,-1.334592623211471,-3.8206989690701754,0.39233734729270553,-1.222382678620185,-3.4994620521541315,0.3593503883996839,-3.975436123015608,-6.461542468874312,-2.2485061525114314,0.25869896477645354,0.19039712240952705,0.3647702461029068,125206,112345,0.18657908496136133,-0.4720173879923081,-1.3513010010093902,0.1387614817136524,-1.0659174665842461e-05
"Clarksville, TN--KY",3104.8439512810824,6.997530642818044,0.5622930012478167,0.0,3.4232708792462065,0.0,0.2944806131817593,11.74893509864755,0.234935951127536,0.3264613886680554,-5.136895744883656,5.353944947807862,-2.142490315557162,-7.286616740927349,2.370626082469385,-11.186049698953306,-16.64940683250502,-6.158566139813501,0.27076510838535317,0.16969851937697353,0.4197312001284171,158655,121775,0.23642401102618713,0.027786466256472506,-0.43722224199493426,0.45569618887623,2.057681060590939e-06
"Kansas City, MO--KS",8262.60952687525,34.5956123853864,3.165983381738404,3.2956061446562286,10.577689776676216,0.0,3.3814805985928893,60.584104224693306,3.3035318710749673,2.752726312796219,-18.706662268144477,20.7544409825653,-5.556198580710769,-22.58105261755642,8.663656857190226,-55.56717784532889,-77.0265664262696,-37.56546317555981,0.42867617682025594,0.2403785063743589,0.7101599824117182,1519417,1361744,2.26420006656819,0.045436444889685165,-0.3087717893585671,0.34257238343562163,1.8116990350879444e-06
